symbol,date,expiry,strike price,underlying value,call price,put price
CIPLA,29-Dec-22,25-Jan-23,1220,1087.55,4.5,89.4
CIPLA,29-Dec-22,25-Jan-23,970,1087.55,218.05,6.7
CIPLA,29-Dec-22,25-Jan-23,1240,1087.55,2.8,101.7
CIPLA,29-Dec-22,25-Jan-23,760,1087.55,418.1,0.1
CIPLA,29-Dec-22,25-Jan-23,850,1087.55,330.15,0.7
CIPLA,29-Dec-22,25-Jan-23,820,1087.55,359.3,0.35
CIPLA,29-Dec-22,25-Jan-23,960,1087.55,226.95,5.75
CIPLA,29-Dec-22,25-Jan-23,1290,1087.55,32.35,135.9
CIPLA,29-Dec-22,25-Jan-23,1230,1087.55,2.75,95.45
CIPLA,29-Dec-22,25-Jan-23,1330,1087.55,23.4,166.35
CIPLA,29-Dec-22,25-Jan-23,1080,1087.55,39.85,24.8
CIPLA,29-Dec-22,25-Jan-23,1320,1087.55,25.45,158.55
CIPLA,29-Dec-22,25-Jan-23,980,1087.55,209.3,4.5
CIPLA,29-Dec-22,25-Jan-23,1150,1087.55,12.55,79.6
CIPLA,29-Dec-22,25-Jan-23,1100,1087.55,29.9,35.1
CIPLA,29-Dec-22,25-Jan-23,770,1087.55,408.25,0.1
CIPLA,29-Dec-22,25-Jan-23,810,1087.55,369.1,0.3
CIPLA,29-Dec-22,25-Jan-23,1280,1087.55,1.0,175.0
CIPLA,29-Dec-22,25-Jan-23,1030,1087.55,167.7,11.45
CIPLA,29-Dec-22,25-Jan-23,1000,1087.55,192.2,4.8
CIPLA,29-Dec-22,25-Jan-23,1040,1087.55,159.85,11.85
CIPLA,29-Dec-22,25-Jan-23,1120,1087.55,21.65,50.3
CIPLA,29-Dec-22,25-Jan-23,1180,1087.55,7.15,67.2
CIPLA,29-Dec-22,25-Jan-23,1270,1087.55,2.65,121.7
CIPLA,29-Dec-22,25-Jan-23,1010,1087.55,183.9,6.35
CIPLA,29-Dec-22,25-Jan-23,1300,1087.55,1.25,143.35
CIPLA,29-Dec-22,25-Jan-23,900,1087.55,282.25,2.0
CIPLA,29-Dec-22,25-Jan-23,1130,1087.55,18.25,56.15
CIPLA,29-Dec-22,25-Jan-23,790,1087.55,388.65,0.15
CIPLA,29-Dec-22,25-Jan-23,830,1087.55,349.55,0.45
CIPLA,29-Dec-22,25-Jan-23,800,1087.55,378.85,0.2
CIPLA,29-Dec-22,25-Jan-23,1110,1087.55,25.8,34.0
CIPLA,29-Dec-22,25-Jan-23,1190,1087.55,67.25,72.4
CIPLA,29-Dec-22,25-Jan-23,750,1087.55,427.9,0.05
CIPLA,29-Dec-22,25-Jan-23,1020,1087.55,175.7,13.55
CIPLA,29-Dec-22,25-Jan-23,930,1087.55,254.2,3.5
CIPLA,29-Dec-22,25-Jan-23,1310,1087.55,27.65,150.85
CIPLA,29-Dec-22,25-Jan-23,1140,1087.55,15.3,61.0
CIPLA,29-Dec-22,25-Jan-23,920,1087.55,263.5,2.95
CIPLA,29-Dec-22,25-Jan-23,860,1087.55,320.5,0.9
CIPLA,29-Dec-22,25-Jan-23,1090,1087.55,34.75,29.25
CIPLA,29-Dec-22,25-Jan-23,950,1087.55,235.95,1.5
CIPLA,29-Dec-22,25-Jan-23,870,1087.55,310.85,1.1
CIPLA,29-Dec-22,25-Jan-23,1170,1087.55,8.95,62.2
CIPLA,29-Dec-22,25-Jan-23,840,1087.55,339.85,0.55
CIPLA,29-Dec-22,25-Jan-23,780,1087.55,398.45,0.15
CIPLA,29-Dec-22,25-Jan-23,1260,1087.55,2.1,114.85
CIPLA,29-Dec-22,25-Jan-23,910,1087.55,272.85,2.45
CIPLA,29-Dec-22,25-Jan-23,1160,1087.55,10.5,57.45
CIPLA,29-Dec-22,25-Jan-23,1250,1087.55,2.1,108.2
CIPLA,29-Dec-22,23-Feb-23,1200,1087.55,32.05,117.05
CIPLA,29-Dec-22,23-Feb-23,1230,1087.55,24.7,139.25
CIPLA,29-Dec-22,23-Feb-23,1140,1087.55,52.15,78.2
CIPLA,29-Dec-22,23-Feb-23,1020,1087.55,117.7,25.65
CIPLA,29-Dec-22,23-Feb-23,940,1087.55,179.6,8.9
CIPLA,29-Dec-22,23-Feb-23,970,1087.55,154.9,13.7
CIPLA,29-Dec-22,23-Feb-23,1170,1087.55,41.15,96.7
CIPLA,29-Dec-22,23-Feb-23,1180,1087.55,37.9,103.3
CIPLA,29-Dec-22,23-Feb-23,1120,1087.55,60.65,67.0
CIPLA,29-Dec-22,23-Feb-23,1160,1087.55,44.6,90.3
CIPLA,29-Dec-22,23-Feb-23,1220,1087.55,27.0,131.7
CIPLA,29-Dec-22,23-Feb-23,1040,1087.55,104.3,31.95
CIPLA,29-Dec-22,23-Feb-23,990,1087.55,139.4,17.85
CIPLA,29-Dec-22,23-Feb-23,1210,1087.55,29.4,124.25
CIPLA,29-Dec-22,23-Feb-23,1010,1087.55,124.7,22.85
CIPLA,29-Dec-22,23-Feb-23,1080,1087.55,80.5,47.5
CIPLA,29-Dec-22,23-Feb-23,1090,1087.55,75.2,52.0
CIPLA,29-Dec-22,23-Feb-23,1260,1087.55,18.75,162.8
CIPLA,29-Dec-22,23-Feb-23,1150,1087.55,19.5,84.15
CIPLA,29-Dec-22,23-Feb-23,980,1087.55,147.05,15.7
CIPLA,29-Dec-22,23-Feb-23,1070,1087.55,86.1,43.25
CIPLA,29-Dec-22,23-Feb-23,1270,1087.55,17.05,170.95
CIPLA,29-Dec-22,23-Feb-23,930,1087.55,188.15,7.6
CIPLA,29-Dec-22,23-Feb-23,1110,1087.55,65.25,61.75
CIPLA,29-Dec-22,23-Feb-23,960,1087.55,162.95,11.95
CIPLA,29-Dec-22,23-Feb-23,1050,1087.55,98.0,35.45
CIPLA,29-Dec-22,23-Feb-23,1300,1087.55,12.75,196.15
CIPLA,29-Dec-22,23-Feb-23,950,1087.55,171.2,10.3
CIPLA,29-Dec-22,23-Feb-23,1240,1087.55,22.55,146.9
CIPLA,29-Dec-22,23-Feb-23,1290,1087.55,14.05,187.6
CIPLA,29-Dec-22,23-Feb-23,1100,1087.55,70.1,56.75
CIPLA,29-Dec-22,23-Feb-23,1280,1087.55,15.5,179.2
CIPLA,29-Dec-22,23-Feb-23,1250,1087.55,20.55,154.75
CIPLA,29-Dec-22,23-Feb-23,1130,1087.55,56.3,72.45
CIPLA,29-Dec-22,23-Feb-23,1000,1087.55,131.95,13.3
CIPLA,29-Dec-22,23-Feb-23,1190,1087.55,34.9,110.1
CIPLA,29-Dec-22,23-Feb-23,1030,1087.55,110.85,28.65
CIPLA,29-Dec-22,23-Feb-23,1060,1087.55,91.9,39.25
CIPLA,30-Dec-22,25-Jan-23,830,1075.95,349.55,0.45
CIPLA,30-Dec-22,25-Jan-23,880,1075.95,301.25,1.35
CIPLA,30-Dec-22,25-Jan-23,1170,1075.95,6.75,62.2
CIPLA,30-Dec-22,25-Jan-23,1040,1075.95,159.85,12.3
CIPLA,30-Dec-22,25-Jan-23,1060,1075.95,43.0,18.95
CIPLA,30-Dec-22,25-Jan-23,770,1075.95,408.25,0.1
CIPLA,30-Dec-22,25-Jan-23,750,1075.95,427.9,0.05
CIPLA,30-Dec-22,25-Jan-23,1240,1075.95,1.7,101.7
CIPLA,30-Dec-22,25-Jan-23,930,1075.95,254.2,3.5
CIPLA,30-Dec-22,25-Jan-23,1140,1075.95,10.55,66.6
CIPLA,30-Dec-22,25-Jan-23,1030,1075.95,167.7,9.25
CIPLA,30-Dec-22,25-Jan-23,790,1075.95,388.65,0.15
CIPLA,30-Dec-22,25-Jan-23,810,1075.95,369.1,0.3
CIPLA,30-Dec-22,25-Jan-23,1160,1075.95,7.3,57.45
CIPLA,30-Dec-22,25-Jan-23,910,1075.95,272.85,2.45
CIPLA,30-Dec-22,25-Jan-23,1070,1075.95,35.85,23.3
CIPLA,30-Dec-22,25-Jan-23,950,1075.95,235.95,1.6
CIPLA,30-Dec-22,25-Jan-23,1290,1075.95,32.35,135.9
CIPLA,30-Dec-22,25-Jan-23,1000,1075.95,192.2,4.75
CIPLA,30-Dec-22,25-Jan-23,900,1075.95,282.25,2.0
CIPLA,30-Dec-22,25-Jan-23,820,1075.95,359.3,0.35
CIPLA,30-Dec-22,25-Jan-23,970,1075.95,218.05,6.7
CIPLA,30-Dec-22,25-Jan-23,1310,1075.95,27.65,150.85
CIPLA,30-Dec-22,25-Jan-23,890,1075.95,291.75,1.65
CIPLA,30-Dec-22,25-Jan-23,1020,1075.95,175.7,7.9
CIPLA,30-Dec-22,25-Jan-23,960,1075.95,226.95,5.75
CIPLA,30-Dec-22,25-Jan-23,980,1075.95,209.3,2.95
CIPLA,30-Dec-22,25-Jan-23,1280,1075.95,1.0,175.0
CIPLA,30-Dec-22,25-Jan-23,1130,1075.95,12.85,56.25
CIPLA,30-Dec-22,25-Jan-23,1210,1075.95,3.8,83.5
CIPLA,30-Dec-22,25-Jan-23,1090,1075.95,26.2,32.35
CIPLA,30-Dec-22,25-Jan-23,1150,1075.95,8.75,75.25
CIPLA,30-Dec-22,25-Jan-23,990,1075.95,200.7,5.25
CIPLA,30-Dec-22,25-Jan-23,1050,1075.95,51.15,15.4
CIPLA,30-Dec-22,25-Jan-23,1300,1075.95,0.95,143.35
CIPLA,30-Dec-22,25-Jan-23,1190,1075.95,3.4,72.4
CIPLA,30-Dec-22,25-Jan-23,1200,1075.95,3.4,77.85
CIPLA,30-Dec-22,25-Jan-23,1080,1075.95,30.75,27.7
CIPLA,30-Dec-22,25-Jan-23,860,1075.95,320.5,0.9
CIPLA,30-Dec-22,25-Jan-23,940,1075.95,245.0,4.15
CIPLA,30-Dec-22,25-Jan-23,1320,1075.95,25.45,158.55
