symbol,date,expiry,strike price,underlying value,call price,put price
AXISBANK,29-Dec-22,25-Jan-23,790,934.55,157.15,19.4
AXISBANK,29-Dec-22,25-Jan-23,820,934.55,105.0,1.25
AXISBANK,29-Dec-22,25-Jan-23,630,934.55,296.6,1.45
AXISBANK,29-Dec-22,25-Jan-23,920,934.55,35.8,14.55
AXISBANK,29-Dec-22,25-Jan-23,710,934.55,222.85,6.4
AXISBANK,29-Dec-22,25-Jan-23,850,934.55,93.7,2.25
AXISBANK,29-Dec-22,25-Jan-23,750,934.55,175.0,0.95
AXISBANK,29-Dec-22,25-Jan-23,1050,934.55,1.65,150.1
AXISBANK,29-Dec-22,25-Jan-23,970,934.55,12.2,40.0
AXISBANK,29-Dec-22,25-Jan-23,660,934.55,250.0,2.65
AXISBANK,29-Dec-22,25-Jan-23,810,934.55,125.0,0.95
AXISBANK,29-Dec-22,25-Jan-23,900,934.55,50.35,8.8
AXISBANK,29-Dec-22,25-Jan-23,830,934.55,128.65,1.55
AXISBANK,29-Dec-22,25-Jan-23,740,934.55,197.0,10.1
AXISBANK,29-Dec-22,25-Jan-23,620,934.55,299.8,0.05
AXISBANK,29-Dec-22,25-Jan-23,860,934.55,82.75,2.9
AXISBANK,29-Dec-22,25-Jan-23,990,934.55,7.35,61.2
AXISBANK,29-Dec-22,25-Jan-23,670,934.55,259.0,3.2
AXISBANK,29-Dec-22,25-Jan-23,720,934.55,214.1,7.5
AXISBANK,29-Dec-22,25-Jan-23,700,934.55,240.0,0.4
AXISBANK,29-Dec-22,25-Jan-23,730,934.55,205.5,8.7
AXISBANK,29-Dec-22,25-Jan-23,1000,934.55,5.7,64.75
AXISBANK,29-Dec-22,25-Jan-23,650,934.55,277.65,2.15
AXISBANK,29-Dec-22,25-Jan-23,760,934.55,180.55,0.8
AXISBANK,29-Dec-22,25-Jan-23,680,934.55,238.0,3.85
AXISBANK,29-Dec-22,25-Jan-23,1010,934.55,4.55,121.3
AXISBANK,29-Dec-22,25-Jan-23,780,934.55,164.75,7.0
AXISBANK,29-Dec-22,25-Jan-23,610,934.55,315.8,0.9
AXISBANK,29-Dec-22,25-Jan-23,1040,934.55,2.05,142.65
AXISBANK,29-Dec-22,25-Jan-23,1060,934.55,1.3,157.65
AXISBANK,29-Dec-22,25-Jan-23,930,934.55,30.0,18.3
AXISBANK,29-Dec-22,25-Jan-23,640,934.55,287.1,1.75
AXISBANK,29-Dec-22,25-Jan-23,600,934.55,320.0,0.1
AXISBANK,29-Dec-22,23-Feb-23,1060,934.55,19.35,183.5
AXISBANK,29-Dec-22,23-Feb-23,940,934.55,49.2,95.3
AXISBANK,29-Dec-22,23-Feb-23,880,934.55,74.2,61.3
AXISBANK,29-Dec-22,23-Feb-23,870,934.55,79.15,56.4
AXISBANK,29-Dec-22,23-Feb-23,820,934.55,107.45,35.5
AXISBANK,29-Dec-22,23-Feb-23,1010,934.55,29.05,144.0
AXISBANK,29-Dec-22,23-Feb-23,920,934.55,56.65,83.1
AXISBANK,29-Dec-22,23-Feb-23,860,934.55,84.35,51.75
AXISBANK,29-Dec-22,23-Feb-23,830,934.55,101.3,39.2
AXISBANK,29-Dec-22,23-Feb-23,780,934.55,134.25,22.95
AXISBANK,29-Dec-22,23-Feb-23,800,934.55,120.4,28.75
AXISBANK,29-Dec-22,23-Feb-23,760,934.55,148.95,17.95
AXISBANK,29-Dec-22,23-Feb-23,980,934.55,12.0,122.05
AXISBANK,29-Dec-22,23-Feb-23,770,934.55,141.45,20.35
AXISBANK,29-Dec-22,23-Feb-23,990,934.55,33.9,129.15
AXISBANK,29-Dec-22,23-Feb-23,790,934.55,127.2,25.75
AXISBANK,29-Dec-22,23-Feb-23,1000,934.55,14.0,136.5
AXISBANK,29-Dec-22,23-Feb-23,950,934.55,31.6,101.7
AXISBANK,29-Dec-22,23-Feb-23,1070,934.55,17.8,191.75
AXISBANK,29-Dec-22,23-Feb-23,840,934.55,95.45,43.15
AXISBANK,29-Dec-22,23-Feb-23,900,934.55,54.5,18.0
AXISBANK,29-Dec-22,23-Feb-23,910,934.55,60.75,77.3
AXISBANK,29-Dec-22,23-Feb-23,850,934.55,89.75,8.1
AXISBANK,29-Dec-22,23-Feb-23,1040,934.55,22.85,167.3
AXISBANK,29-Dec-22,23-Feb-23,1050,934.55,21.05,175.3
AXISBANK,29-Dec-22,23-Feb-23,1030,934.55,24.8,159.4
AXISBANK,29-Dec-22,23-Feb-23,960,934.55,42.5,108.3
AXISBANK,29-Dec-22,23-Feb-23,930,934.55,52.85,89.1
AXISBANK,29-Dec-22,23-Feb-23,810,934.55,113.8,32.0
AXISBANK,29-Dec-22,23-Feb-23,970,934.55,39.45,115.05
AXISBANK,29-Dec-22,23-Feb-23,1020,934.55,26.85,151.65
AXISBANK,29-Dec-22,23-Feb-23,890,934.55,69.5,66.4
AXISBANK,30-Dec-22,25-Jan-23,960,933.75,14.2,34.95
AXISBANK,30-Dec-22,25-Jan-23,1050,933.75,1.2,150.1
AXISBANK,30-Dec-22,25-Jan-23,850,933.75,92.65,2.0
AXISBANK,30-Dec-22,25-Jan-23,1000,933.75,4.65,65.3
AXISBANK,30-Dec-22,25-Jan-23,980,933.75,8.4,48.2
AXISBANK,30-Dec-22,25-Jan-23,1030,933.75,1.95,135.35
AXISBANK,30-Dec-22,25-Jan-23,880,933.75,64.3,4.65
AXISBANK,30-Dec-22,25-Jan-23,700,933.75,240.0,0.4
AXISBANK,30-Dec-22,25-Jan-23,720,933.75,214.1,7.5
AXISBANK,30-Dec-22,25-Jan-23,650,933.75,277.65,2.15
AXISBANK,30-Dec-22,25-Jan-23,800,933.75,140.0,0.75
AXISBANK,30-Dec-22,25-Jan-23,820,933.75,105.0,1.2
AXISBANK,30-Dec-22,25-Jan-23,760,933.75,180.55,0.8
AXISBANK,30-Dec-22,25-Jan-23,890,933.75,57.5,6.45
AXISBANK,30-Dec-22,25-Jan-23,620,933.75,299.8,0.05
AXISBANK,30-Dec-22,25-Jan-23,780,933.75,164.75,7.0
AXISBANK,30-Dec-22,25-Jan-23,950,933.75,18.05,28.4
AXISBANK,30-Dec-22,25-Jan-23,680,933.75,238.0,3.85
AXISBANK,30-Dec-22,25-Jan-23,740,933.75,197.0,10.1
AXISBANK,30-Dec-22,25-Jan-23,920,933.75,33.65,14.65
AXISBANK,30-Dec-22,25-Jan-23,830,933.75,128.65,1.25
AXISBANK,30-Dec-22,25-Jan-23,930,933.75,28.0,18.75
AXISBANK,30-Dec-22,25-Jan-23,940,933.75,22.85,23.2
AXISBANK,30-Dec-22,25-Jan-23,1070,933.75,0.9,165.4
AXISBANK,30-Dec-22,25-Jan-23,1010,933.75,3.45,121.3
AXISBANK,30-Dec-22,25-Jan-23,610,933.75,315.8,0.9
AXISBANK,30-Dec-22,25-Jan-23,1080,933.75,25.6,173.25
AXISBANK,30-Dec-22,25-Jan-23,630,933.75,296.6,1.45
AXISBANK,30-Dec-22,25-Jan-23,750,933.75,175.0,0.6
AXISBANK,30-Dec-22,25-Jan-23,1040,933.75,1.55,142.65
AXISBANK,30-Dec-22,25-Jan-23,970,933.75,10.95,40.35
AXISBANK,30-Dec-22,25-Jan-23,710,933.75,222.85,6.4
AXISBANK,30-Dec-22,25-Jan-23,860,933.75,87.0,2.6
AXISBANK,30-Dec-22,25-Jan-23,910,933.75,42.3,11.15
AXISBANK,30-Dec-22,25-Jan-23,870,933.75,103.5,3.5
