Date,ADANIENT.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BERGEPAINT.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,DABUR.NS,HAVELLS.NS,HCLTECH.NS,HINDPETRO.NS,INDIGO.NS,JUBLFOOD.NS,MRF.NS,PEL.NS,SIEMENS.NS,TATASTEEL.NS,UBL.NS,^NSEI
2019-01-01,155.387451171875,1323.9293212890625,624.9319458007812,2307.134033203125,271.0163269042969,284.3455810546875,262.8446960449219,2828.7685546875,509.21551513671875,404.7572326660156,671.7570190429688,413.8722229003906,197.3094024658203,1161.9595947265625,246.7438507080078,66330.2421875,1182.6595458984375,1036.59912109375,44.02858352661133,1340.980224609375,
2019-01-02,153.01589965820312,1335.271484375,617.7092895507812,2277.8154296875,266.7778015136719,278.249267578125,256.2235107421875,2841.348876953125,500.9403076171875,399.5280456542969,668.8566284179688,408.05120849609375,197.194091796875,1157.3739013671875,244.43592834472656,66165.71875,1157.2071533203125,1030.64892578125,42.14195251464844,1333.8458251953125,10792.5
2019-01-03,150.6937255859375,1340.097900390625,605.655029296875,2285.7265625,264.984619140625,279.00579833984375,252.32232666015625,2858.71484375,498.84722900390625,404.9010925292969,658.8016967773438,408.91357421875,190.85287475585938,1152.9378662109375,244.53453063964844,66347.1484375,1128.9896240234375,1019.2843627929688,41.0833854675293,1346.68798828125,10672.25
2019-01-04,150.74313354492188,1337.7327880859375,617.260986328125,2313.522216796875,263.3544616699219,286.97100830078125,257.2972106933594,2846.681396484375,499.236572265625,402.2625427246094,656.0460815429688,402.0147399902344,190.77597045898438,1139.6295166015625,239.10000610351562,66133.578125,1164.56396484375,1036.64794921875,41.629737854003906,1349.2957763671875,10727.349609375
2019-01-07,149.45852661132812,1347.5303955078125,635.043701171875,2249.51171875,259.2790222167969,289.1959228515625,254.50550842285156,2865.91650390625,500.4535217285156,403.4139099121094,670.5486450195312,405.9815979003906,192.00579833984375,1110.271484375,240.0764617919922,66506.34375,1125.509033203125,1036.0140380859375,41.446197509765625,1367.6485595703125,10771.7998046875
2019-01-08,151.63247680664062,1352.59814453125,648.4429321289062,2280.226806640625,263.9657897949219,293.0227966308594,251.9286346435547,2816.4619140625,500.06414794921875,399.5280456542969,647.4896850585938,407.5338134765625,190.5838165283203,1106.832275390625,244.65289306640625,65971.484375,1139.827392578125,1026.5029296875,41.94559860229492,1388.3629150390625,10802.150390625
2019-01-09,147.58103942871094,1353.3221435546875,667.5704345703125,2281.961181640625,265.2699279785156,297.69512939453125,243.4104766845703,2819.287841796875,496.6080627441406,404.4213562011719,659.1400756835938,404.623291015625,183.7045135498047,1101.3992919921875,243.44961547851562,65604.53125,1156.293701171875,1027.722412109375,40.90837860107422,1363.2200927734375,10855.150390625
2019-01-10,149.31031799316406,1347.868408203125,660.7462768554688,2305.99169921875,264.00653076171875,300.1870422363281,240.2251739501953,2815.91455078125,499.6747131347656,404.0855712890625,665.2308959960938,403.5238037109375,179.01580810546875,1093.5738525390625,243.38055419921875,66230.4453125,1138.099365234375,1044.793212890625,41.01082229614258,1356.479248046875,10821.599609375
2019-01-11,149.70558166503906,1354.9150390625,663.9840087890625,2302.310546875,265.0661315917969,298.2291259765625,241.4420623779297,2823.116943359375,496.7054138183594,404.5653076171875,665.2308959960938,405.33477783203125,179.47702026367188,1054.1473388671875,244.1301727294922,66465.3359375,1134.0506591796875,1031.9168701171875,40.48153305053711,1355.052490234375,10794.9501953125
2019-01-14,146.59288024902344,1340.3873291015625,656.7115478515625,2283.864990234375,264.33258056640625,295.1142272949219,239.7599334716797,2838.431640625,498.4091491699219,415.9352111816406,665.7145385742188,404.1060485839844,179.82289123535156,1078.271728515625,239.62274169921875,66183.125,1123.6328125,1028.2587890625,40.195552825927734,1358.0538330078125,10737.599609375
2019-01-15,146.88931274414062,1357.135009765625,658.1062622070312,2306.45703125,265.5552062988281,300.5875244140625,244.5916290283203,2902.471923828125,501.3297119140625,408.83502197265625,658.5115966796875,408.6333923339844,185.66453552246094,1079.567626953125,243.81454467773438,65728.90625,1158.194580078125,1036.989501953125,40.55410385131836,1396.5797119140625,10886.7998046875
2019-01-16,146.69171142578125,1341.4974365234375,661.493408203125,2299.349365234375,263.1914978027344,297.20562744140625,248.5642852783203,2895.04248046875,497.9710388183594,406.6761779785156,660.7835693359375,404.5587158203125,184.93434143066406,1133.0003662109375,239.62274169921875,65525.953125,1171.2293701171875,1034.5509033203125,40.511417388916016,1394.0704345703125,10890.2998046875
2019-01-17,147.2351837158203,1341.3525390625,674.095703125,2309.672119140625,264.6993103027344,295.51470947265625,254.25498962402344,2923.62158203125,496.1212463378906,403.2699890136719,653.7257690429688,411.6515808105469,187.70143127441406,1109.4241943359375,239.1394500732422,65338.8671875,1179.0057373046875,1038.6966552734375,40.39189910888672,1388.06787109375,10905.2001953125
2019-01-18,145.0118408203125,1351.825927734375,662.0911254882812,2302.14208984375,265.8404541015625,276.9143371582031,253.53921508789062,2891.03173828125,495.9265441894531,406.916015625,655.0308837890625,416.6533508300781,184.08883666992188,1072.639404296875,240.2539825439453,65276.32421875,1133.729736328125,1028.8929443359375,40.17848205566406,1392.25,10906.9501953125
2019-01-21,144.2213134765625,1372.72412109375,657.8074340820312,2271.553466796875,262.53936767578125,277.09234619140625,251.64231872558594,2870.110107421875,495.7804870605469,410.80194091796875,655.224365234375,416.4162292480469,183.43548583984375,1059.630126953125,232.88626098632812,65659.8828125,1126.570556640625,1019.1869506835938,40.26811599731445,1462.069091796875,10961.849609375
