Date,ADANIENT.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BERGEPAINT.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,DABUR.NS,HAVELLS.NS,HCLTECH.NS,HINDPETRO.NS,INDIGO.NS,JUBLFOOD.NS,MRF.NS,PEL.NS,SIEMENS.NS,TATASTEEL.NS,UBL.NS
2019-01-01,155.387451171875,1323.92919921875,624.9320068359375,2238.6484375,269.81573486328125,289.7033386230469,262.8447265625,2828.768798828125,509.2154541015625,403.3473815917969,671.7571411132812,410.7207336425781,181.49546813964844,1161.9595947265625,246.7438507080078,66331.5859375,2122.5380859375,1036.5992431640625,44.02857971191406,1332.2227783203125
2019-01-02,153.01589965820312,1335.271728515625,617.7093505859375,2210.19970703125,265.5960388183594,283.4921875,256.2235107421875,2841.3486328125,500.9403381347656,398.1364440917969,668.856689453125,404.944091796875,181.38937377929688,1157.3739013671875,244.4359130859375,66167.046875,2076.858154296875,1030.6488037109375,42.141944885253906,1325.1351318359375
2019-01-03,150.6937255859375,1340.0980224609375,605.655029296875,2217.876220703125,263.810791015625,284.2629089355469,252.3223114013672,2858.71484375,498.84722900390625,403.49078369140625,658.8016967773438,405.7998962402344,175.55636596679688,1152.9378662109375,244.5345458984375,66348.515625,2026.21630859375,1019.284423828125,41.08338165283203,1337.8931884765625
2019-01-04,150.74313354492188,1337.7327880859375,617.260986328125,2244.84716796875,262.1878356933594,292.3782043457031,257.2972412109375,2846.681884765625,499.2366027832031,400.8614196777344,656.046142578125,398.95343017578125,175.4856719970703,1139.6295166015625,239.09999084472656,66134.921875,2090.061767578125,1036.6480712890625,41.62974166870117,1340.4840087890625
2019-01-07,149.45852661132812,1347.530517578125,635.0436401367188,2182.736572265625,258.1304626464844,294.6450500488281,254.50552368164062,2865.916748046875,500.4535217285156,402.0087890625,670.5486450195312,402.8901672363281,176.61692810058594,1110.271484375,240.07643127441406,66507.6796875,2019.9691162109375,1036.0140380859375,41.446197509765625,1358.7169189453125
2019-01-08,151.63247680664062,1352.5980224609375,648.44287109375,2212.539794921875,262.7964172363281,298.5440673828125,251.92861938476562,2816.461669921875,500.06414794921875,398.1364440917969,647.4895629882812,404.4306335449219,175.3089141845703,1106.832275390625,244.65289306640625,65972.796875,2045.666748046875,1026.5030517578125,41.94559860229492,1379.2960205078125
2019-01-09,147.58103942871094,1353.3221435546875,667.5703735351562,2214.22314453125,264.09478759765625,303.3044738769531,243.41049194335938,2819.28759765625,496.6080322265625,403.01275634765625,659.139892578125,401.54229736328125,168.98097229003906,1101.3992919921875,243.44960021972656,65605.859375,2075.218994140625,1027.722412109375,40.90837860107422,1354.3173828125
2019-01-10,149.31031799316406,1347.8681640625,660.7462158203125,2237.5400390625,262.8370056152344,305.8432922363281,240.22512817382812,2815.9150390625,499.6746826171875,402.6781311035156,665.2310791015625,400.451171875,164.66806030273438,1093.5738525390625,243.38055419921875,66231.7734375,2042.565185546875,1044.79345703125,41.010826110839844,1347.6204833984375
2019-01-11,149.70558166503906,1354.9149169921875,663.9840087890625,2233.968505859375,263.8919372558594,303.8484802246094,241.44200134277344,2823.11669921875,496.7054138183594,403.1561279296875,665.2310791015625,402.2482604980469,165.09225463867188,1054.1473388671875,244.13015747070312,66466.671875,2035.2991943359375,1031.9168701171875,40.481536865234375,1346.203125
2019-01-14,146.59288024902344,1340.38720703125,656.7116088867188,2216.070068359375,263.16162109375,300.6749267578125,239.75994873046875,2838.431640625,498.40911865234375,414.48638916015625,665.7144165039062,401.0287780761719,165.4104461669922,1078.271728515625,239.62274169921875,66184.4453125,2016.601806640625,1028.2587890625,40.195552825927734,1349.184814453125
2019-01-15,146.88931274414062,1357.134765625,658.106201171875,2237.99169921875,264.37884521484375,306.2513427734375,244.59161376953125,2902.471923828125,501.3297424316406,407.4110107421875,658.511474609375,405.5216979980469,170.78390502929688,1079.567626953125,243.8145294189453,65730.234375,2078.63037109375,1036.9893798828125,40.55410385131836,1387.459228515625
2019-01-16,146.69171142578125,1341.497314453125,661.4934692382812,2231.0947265625,262.0255432128906,302.8056945800781,248.5643310546875,2895.04248046875,497.97100830078125,405.2596740722656,660.7835083007812,401.4780578613281,170.1122283935547,1133.0003662109375,239.62274169921875,65527.2578125,2102.024169921875,1034.550537109375,40.511417388916016,1384.9661865234375
2019-01-17,147.2351837158203,1341.3526611328125,674.0957641601562,2241.111328125,263.5267639160156,301.0829162597656,254.25498962402344,2923.62158203125,496.1212463378906,401.8653564453125,653.7257690429688,408.51702880859375,172.6575469970703,1109.4241943359375,239.13946533203125,65340.1875,2115.98095703125,1038.696533203125,40.391902923583984,1379.0028076171875
2019-01-18,145.0118408203125,1351.8258056640625,662.0911865234375,2233.80419921875,264.6628723144531,282.1320495605469,253.53924560546875,2891.03125,495.9265441894531,405.4986877441406,655.0309448242188,413.48077392578125,169.33447265625,1072.639404296875,240.25396728515625,65277.6328125,2034.7227783203125,1028.892822265625,40.17848205566406,1383.1575927734375
2019-01-21,144.2213134765625,1372.72412109375,657.807373046875,2204.124267578125,261.3763427734375,282.31341552734375,251.64231872558594,2870.10986328125,495.7804870605469,409.37109375,655.224365234375,413.245361328125,168.73350524902344,1059.630126953125,232.8862762451172,65661.2265625,2021.8741455078125,1019.1868896484375,40.26811981201172,1452.520751953125
