Date,BANKBARODA.BO,COLPAL.BO,DLF.BO,HINDUNILVR.BO,IRCTC.BO,LT.BO,MARUTI.BO,MFSL.BO,NAUKRI.BO,NTPC.BO,PIDILITIND.BO,RELIANCE.BO,SBIN.BO,SUNPHARMA.BO,TITAN.BO,TVSMOTOR.BO,ULTRACEMCO.BO,WIPRO.BO,ZEEL.BO,ZOMATO.BO
2019-01-01,119.73173522949219,1295.1904296875,179.13999938964844,1775.473388671875,,1423.52099609375,7477.60009765625,444.1499938964844,1433.6947021484375,116.84548950195312,1091.7266845703125,1114.047607421875,293.6442565917969,427.4344787597656,927.5999755859375,562.4229125976562,3970.062744140625,244.61181640625,474.6343688964844,
2019-01-02,115.94459533691406,1274.12841796875,171.54974365234375,1756.6661376953125,,1408.3651123046875,7272.4501953125,428.6499938964844,1428.31982421875,115.50605773925781,1097.9732666015625,1099.095703125,288.24908447265625,434.540283203125,931.7000122070312,532.3712768554688,3958.87841796875,242.7080841064453,464.0495910644531,
2019-01-03,115.94459533691406,1285.759033203125,171.25209045410156,1759.9647216796875,,1376.3253173828125,7203.89990234375,424.3500061035156,1489.533447265625,112.98477935791016,1099.8076171875,1084.640380859375,285.50244140625,429.6550598144531,928.7000122070312,535.9535522460938,3854.95263671875,242.93206787109375,457.66900634765625,
2019-01-04,118.03237915039062,1282.0450439453125,173.78216552734375,1752.9735107421875,,1371.734130859375,7237.39990234375,441.5,1546.9151611328125,114.75755310058594,1098.02294921875,1091.892822265625,291.8294982910156,427.1383972167969,928.5499877929688,537.8939819335938,3871.580810546875,241.58824157714844,459.7958679199219,
2019-01-07,118.66355895996094,1275.056884765625,178.14781188964844,1757.355224609375,,1366.45166015625,7349.0,436.3999938964844,1612.8070068359375,116.92427825927734,1093.2635498046875,1096.26416015625,290.0638122558594,424.42437744140625,943.5,532.819091796875,3890.435791015625,242.03616333007812,457.47119140625,
2019-01-08,120.2172622680664,1279.259521484375,180.08258056640625,1743.4713134765625,,1364.427734375,7421.35009765625,435.1499938964844,1615.0963134765625,115.78182220458984,1096.138916015625,1096.7608642578125,299.2846374511719,441.3006896972656,946.0499877929688,531.0279541015625,3874.748046875,243.26800537109375,446.6885070800781,
2019-01-09,119.48896789550781,1274.275146484375,180.57867431640625,1755.8782958984375,,1367.6859130859375,7465.85009765625,439.54998779296875,1619.7744140625,115.15149688720703,1090.090576171875,1101.1820068359375,299.235595703125,441.54742431640625,952.5,535.8540649414062,3780.91796875,245.69435119628906,447.0347595214844,
2019-01-10,119.82884216308594,1294.9949951171875,181.9181365966797,1758.5369873046875,,1372.672119140625,7385.9501953125,458.45001220703125,1572.4459228515625,116.41213989257812,1105.45947265625,1098.449951171875,298.84320068359375,438.0438537597656,965.5,536.9486694335938,3780.323974609375,243.7906036376953,447.084228515625,
2019-01-11,117.44973754882812,1292.6982421875,180.6282958984375,1741.255859375,,1352.8756103515625,7319.7998046875,454.3500061035156,1582.5982666015625,116.25456237792969,1098.86572265625,1090.750244140625,296.7832336425781,437.4023742675781,957.5499877929688,537.2969360351562,3729.549072265625,244.94776916503906,446.2433776855469,
2019-01-14,117.59539794921875,1275.594482421875,180.1818084716797,1736.4801025390625,,1317.13330078125,7402.5498046875,446.8500061035156,1626.4930419921875,114.44239807128906,1124.397705078125,1089.3096923828125,294.7723083496094,444.7549133300781,957.25,532.9185791015625,3738.753662109375,233.93594360351562,443.4735107421875,
2019-01-15,117.74105834960938,1293.822265625,184.2993927001953,1760.2601318359375,,1324.09423828125,7349.5498046875,460.6499938964844,1677.50439453125,114.87574005126953,1149.532958984375,1122.1943359375,295.2627868652344,445.939208984375,965.9500122070312,540.9788208007812,3781.858154296875,247.0754852294922,451.7830810546875,
2019-01-16,117.498291015625,1299.1976318359375,181.52125549316406,1742.880615234375,,1325.5751953125,7305.25,452.3999938964844,1666.207275390625,115.11209869384766,1143.484619140625,1126.6649169921875,296.97943115234375,447.4195861816406,961.75,545.6556396484375,3846.787109375,251.96548461914062,447.23260498046875,
2019-01-17,115.70183563232422,1294.261962890625,182.6622772216797,1723.2855224609375,,1329.1297607421875,7333.7001953125,457.0,1614.5987548828125,114.4817886352539,1143.0384521484375,1126.366943359375,291.682373046875,421.56231689453125,961.3499755859375,544.2625732421875,3812.837890625,251.14425659179688,436.2521057128906,
2019-01-18,114.53656005859375,1280.04150390625,178.89195251464844,1716.9833984375,,1301.5823974609375,7353.35009765625,456.3999938964844,1569.409912109375,113.73328399658203,1141.799072265625,1175.246337890625,289.5733642578125,385.63848876953125,960.5,533.2171020507812,3781.46240234375,258.4605712890625,435.4112548828125,
2019-01-21,113.07996368408203,1283.1690673828125,175.8657684326172,1721.5130615234375,,1297.5836181640625,7200.9501953125,439.0,1542.3365478515625,112.90599060058594,1144.872802734375,1226.460693359375,286.7776794433594,393.1390686035156,964.3499755859375,535.40625,3809.274658203125,251.96548461914062,432.0478515625,
2019-01-22,110.55521392822266,1277.2071533203125,178.048583984375,1723.088623046875,,1284.3531494140625,7068.25,436.5,1619.02783203125,112.51203918457031,1142.840087890625,1226.7091064453125,284.7667236328125,412.5813293457031,982.5999755859375,551.1286010742188,3810.066650390625,258.647216796875,420.6222229003906,
2019-01-23,108.37032318115234,1277.3536376953125,175.816162109375,1738.6463623046875,,1284.550537109375,7042.14990234375,438.70001220703125,1719.2591552734375,110.7392807006836,1121.37353515625,1217.718017578125,281.0391540527344,425.115234375,962.5999755859375,529.18701171875,3810.264404296875,262.19342041015625,428.140380859375,
2019-01-24,109.87547302246094,1291.9652099609375,176.064208984375,1731.8028564453125,,1280.2061767578125,7037.39990234375,440.79998779296875,1703.831298828125,110.3059310913086,1100.1546630859375,1237.289794921875,282.4615478515625,416.97314453125,967.75,520.47998046875,3751.47216796875,262.9399719238281,429.4263916015625,
2019-01-25,106.86518859863281,1258.783935546875,155.8235321044922,1726.1409912109375,,1269.2958984375,6516.35009765625,428.75,1691.0411376953125,108.96649932861328,1117.0107421875,1238.1341552734375,279.81298828125,416.67706298828125,976.3499755859375,493.6126403808594,3477.801025390625,263.6492004394531,315.91180419921875,
2019-01-28,106.03977966308594,1236.451416015625,162.27276611328125,1713.9803466796875,,1284.1063232421875,6508.5498046875,400.3500061035156,1664.0672607421875,109.04571533203125,1094.0072021484375,1221.5926513671875,276.2325744628906,406.1663818359375,957.9500122070312,476.9449462890625,3346.359619140625,265.142333984375,368.4895935058594,
2019-01-29,110.55521392822266,1233.8126220703125,163.6618194580078,1724.6640625,,1261.9400634765625,6523.2998046875,410.1499938964844,1692.9820556640625,109.16390228271484,1098.2708740234375,1203.0145263671875,275.3987731933594,416.7757568359375,966.5,493.6126403808594,3373.28125,267.718017578125,373.63360595703125,
2019-01-30,110.36100006103516,1243.29296875,163.0665283203125,1703.5919189453125,,1278.9227294921875,6528.25,418.1499938964844,1689.1500244140625,109.36088562011719,1097.9732666015625,1187.0194091796875,282.0201110839844,412.1372375488281,966.4500122070312,489.3337707519531,3402.479736328125,270.6296081542969,385.05926513671875,
2019-01-31,109.19572448730469,1250.6719970703125,163.36416625976562,1735.249267578125,,1296.7938232421875,6628.0498046875,396.29998779296875,1737.8720703125,110.22758483886719,1106.8970947265625,1219.10888671875,287.75860595703125,420.0325927734375,995.4000244140625,497.89154052734375,3484.679931640625,275.70623779296875,376.35400390625,
2019-02-01,107.7391357421875,1265.8209228515625,164.45558166503906,1768.7283935546875,,1307.8521728515625,6956.5498046875,375.54998779296875,1727.072509765625,110.42455291748047,1112.4495849609375,1239.177490234375,278.881103515625,417.7133483886719,991.2999877929688,512.9173583984375,3442.4169921875,277.2366943359375,352.6618347167969,
2019-02-04,107.0108413696289,1259.9078369140625,161.97511291503906,1775.522705078125,,1290.7215576171875,6968.0498046875,370.95001220703125,1719.8563232421875,108.13963317871094,1109.47509765625,1282.7418212890625,278.1944580078125,408.9297790527344,1025.699951171875,497.39398193359375,3419.05810546875,277.050048828125,344.74798583984375,
2019-02-05,105.11727142333984,1263.6219482421875,158.60166931152344,1793.296142578125,,1288.6973876953125,7096.0,367.3999938964844,1750.0152587890625,108.73055267333984,1111.80517578125,1281.8974609375,279.0773010253906,403.94580078125,1066.6500244140625,495.3540344238281,3424.699951171875,275.1463317871094,361.3670959472656,
2019-02-06,105.84557342529297,1264.94140625,158.8000946044922,1800.5335693359375,,1295.06591796875,7191.10009765625,374.3500061035156,1726.1767578125,107.66688537597656,1114.1353759765625,1301.320068359375,282.706787109375,409.96600341796875,1059.0999755859375,488.58746337890625,3470.625244140625,277.75927734375,383.77325439453125,
2019-02-07,105.65135955810547,1267.3846435546875,158.8000946044922,1808.755615234375,,1283.7113037109375,7284.25,392.75,1747.8753662109375,107.1547622680664,1151.96240234375,1281.7979736328125,282.1181945800781,428.3227233886719,1057.699951171875,502.4191589355469,3535.653076171875,278.9537658691406,404.4976806640625,
2019-02-08,101.91277313232422,1264.2572021484375,163.3145751953125,1789.5543212890625,,1246.2410888671875,7146.14990234375,395.75,1760.317138671875,104.00314331054688,1140.4603271484375,1269.0316162109375,279.6167907714844,425.26324462890625,1053.9000244140625,490.57763671875,3518.381591796875,278.02056884765625,395.0505065917969,
2019-02-11,100.8931655883789,1256.4384765625,162.4215850830078,1777.68896484375,,1230.196533203125,7185.0498046875,378.3999938964844,1700.496826171875,104.04254150390625,1118.2005615234375,1245.2872314453125,274.46685791015625,422.5986022949219,1055.8499755859375,485.5524597167969,3413.86181640625,278.0952453613281,398.1665954589844,
2019-02-12,99.63078308105469,1245.78515625,158.00634765625,1767.3497314453125,,1228.9130859375,7145.10009765625,391.29998779296875,1618.380859375,104.86982727050781,1123.4061279296875,1248.51611328125,270.1507263183594,431.0367431640625,1066.6500244140625,487.14459228515625,3417.425048828125,279.4390563964844,410.43310546875,
2019-02-14,100.60184478759766,1221.05810546875,160.98291015625,1754.8935546875,,1211.68359375,7017.0498046875,386.3999938964844,1673.67236328125,103.05766296386719,1104.319091796875,1217.5194091796875,261.9598693847656,434.8857116699219,1044.699951171875,491.4234619140625,3458.154052734375,280.22296142578125,428.6349792480469,
2019-02-15,98.07708740234375,1205.42041015625,156.8157196044922,1745.8839111328125,,1227.53076171875,6925.2998046875,386.8500061035156,1682.481201171875,107.31232452392578,1084.7364501953125,1235.402099609375,257.93804931640625,417.7626647949219,1039.3499755859375,476.9449462890625,3406.290283203125,280.37225341796875,425.2221374511719,
2019-02-18,96.23207092285156,1203.07470703125,154.83132934570312,1725.4517822265625,,1224.568603515625,6844.39990234375,389.29998779296875,1659.5384521484375,107.82447814941406,1063.7655029296875,1211.8067626953125,254.79904174804688,409.6699523925781,1028.8499755859375,468.43695068359375,3400.59912109375,280.37225341796875,432.93817138671875,
2019-02-19,99.19380950927734,1218.810302734375,162.27276611328125,1712.109375,,1239.8726806640625,6805.75,385.70001220703125,1609.5223388671875,105.10620880126953,1049.884033203125,1208.428955078125,257.4966125488281,408.9297790527344,1029.1500244140625,471.4719543457031,3434.993408203125,273.2799072265625,441.2972106933594,
2019-02-20,100.06776428222656,1215.6826171875,161.82627868652344,1707.038330078125,,1258.97802734375,6848.7001953125,394.54998779296875,1716.870361328125,108.10023498535156,1066.19482421875,1226.3116455078125,261.9598693847656,416.67706298828125,1033.25,464.6058654785156,3539.612060546875,278.05792236328125,440.110107421875,
2019-02-21,100.01921081542969,1211.2845458984375,164.40597534179688,1726.7318115234375,,1266.03759765625,6796.7998046875,407.29998779296875,1685.9647216796875,107.62750244140625,1066.2442626953125,1238.3328857421875,262.4503479003906,424.1282958984375,1042.4000244140625,461.9689025878906,3593.950439453125,279.5883483886719,441.7423400878906,
2019-02-22,99.87355041503906,1227.0198974609375,167.9778594970703,1740.71435546875,,1263.27294921875,6916.39990234375,403.6000061035156,1649.7840576171875,110.06999206542969,1066.8392333984375,1224.5731201171875,265.5893859863281,424.769775390625,1040.050048828125,468.9842529296875,3584.00341796875,282.9479064941406,443.7702941894531,
